188	http://www.stat-nba.com/coach/188.html	K	凯文-麦克海尔	Kevin McHale	1957-12-19 00:00:00	Hibbing, Minnesota	Hibbing in Hibbing, Minnesota	University of Minnesota	7年 2支球队 3次进入季后赛	417场 232胜185负 胜率55.6%	29场 13胜16负 胜率44.8%	0次	0个	暂无信息
189	http://www.stat-nba.com/coach/189.html	M	Morris McHone	Morris McHone		暂无信息	暂无信息	暂无信息	1年 1支球队 0次进入季后赛	31场 11胜20负 胜率35.5%	0场	0次	0个	暂无信息
19	http://www.stat-nba.com/coach/19.html	B	Bill Berry	Bill Berry	1942-01-01 00:00:00	暂无信息	暂无信息	Michigan State University	1年 1支球队 0次进入季后赛	2场 0胜2负 胜率0.0%	0场	0次	0个	暂无信息
190	http://www.stat-nba.com/coach/190.html	B	Bones McKinney	Bones McKinney	1919-01-01 00:00:00	Lowlands, North Carolina	Durham in Durham, North Carolina	University of North Carolina	1年 1支球队 0次进入季后赛	35场 10胜25负 胜率28.6%	0场	0次	0个	暂无信息
191	http://www.stat-nba.com/coach/191.html	J	Jack McKinney	Jack McKinney		暂无信息	暂无信息	暂无信息	6年 3支球队 1次进入季后赛	351场 136胜215负 胜率38.7%	2场 0胜2负 胜率0.0%	0次	0个	1次 (80-81赛季)
192	http://www.stat-nba.com/coach/192.html	J	杰克-麦克马洪	Jack McMahon	1928-12-03 00:00:00	暂无信息	Saint Michael's in Brooklyn, New York	St. John's University	8年 3支球队 5次进入季后赛	549场 260胜289负 胜率47.4%	29场 10胜19负 胜率34.5%	0次	0个	暂无信息
193	http://www.stat-nba.com/coach/193.html	D	Dave McMillan	Dave McMillan	1886-12-24 00:00:00	暂无信息	暂无信息	暂无信息	1年 1支球队 0次进入季后赛	23场 9胜14负 胜率39.1%	0场	0次	0个	暂无信息
194	http://www.stat-nba.com/coach/194.html	N	内特-麦克米兰	Nate McMillan	1964-08-03 00:00:00	Raleigh, North Carolina	Enloe in Raleigh, North Carolina	North Carolina State University	14年 3支球队 7次进入季后赛	1094场 568胜526负 胜率51.9%	45场 17胜28负 胜率37.8%	0次	0个	暂无信息
195	http://www.stat-nba.com/coach/195.html	M	Murray Mendenhall	Murray Mendenhall	1898-03-05 00:00:00	暂无信息	暂无信息	暂无信息	2年 1支球队 2次进入季后赛	136场 72胜64负 胜率52.9%	7场 3胜4负 胜率42.9%	0次	0个	暂无信息
196	http://www.stat-nba.com/coach/196.html	G	乔治-迈肯	George Mikan	1924-06-18 00:00:00	Joliet, Illinois	Archbishop Quigley Preparatory Seminary in Chicago, Illinois	DePaul University	1年 1支球队 0次进入季后赛	39场 9胜30负 胜率23.1%	0场	0次	0个	暂无信息
